 Gen#      NN#        ErrMean        sga%ErrMean        ErrStd         sga%ErrSt
 d
   3        1        1973.8929       1973.8929       7302.9648       7302.9648
   4        1        1748.9404       1748.9404       7047.4798       7047.4798
   5        1        1471.1233       1471.1233       7011.9153       7011.9153
   6        1        1296.9746       1296.9746       7062.1177       7062.1177
   7        1         972.9229        972.9229       6837.7322       6837.7322
   8        1       -2174.8949      -2174.8949       4199.0382       4199.0382
   9        1       -1153.7726      -1153.7726       4044.5895       4044.5895
  10        1       -1355.6072      -1355.6072       3443.3019       3443.3019
  11        1       -1877.6276      -1877.6276       3070.4236       3070.4236
  12        1       -2109.7969      -2109.7969       2667.8319       2667.8319
  13        1       -2133.7747      -2133.7747       2558.1059       2558.1059
  14        1       -2190.5122      -2190.5122       2530.9050       2530.9050
  15        1       -1030.8046      -1030.8046       1107.2578       1107.2578
  16        1        -749.8240       -749.8240        901.2284        901.2284
  17        1        -407.1643       -407.1643       1056.4904       1056.4904
  18        1        -345.3178       -345.3178        813.0475        813.0475
  19        1        -275.6264       -275.6264        855.7294        855.7294
  20        1        -167.7851       -167.7851        758.8437        758.8437
  21        1        -144.1444       -144.1444        745.0194        745.0194
  22        1        -113.8430       -113.8430        630.4304        630.4304
  23        1         -45.3277        -45.3277        549.3350        549.3350
  24        1         -84.4305        -84.4305        253.4366        253.4366
  25        1         -60.0226        -60.0226        235.4625        235.4625
  26        1         -48.1145        -48.1145        189.0422        189.0422
  27        1         -23.4878        -23.4878        190.7935        190.7935
  28        1         -53.2963        -53.2963        210.9868        210.9868
  29        1         -30.4215        -30.4215        217.4980        217.4980
  30        1         -14.3339        -14.3339        222.0902        222.0902
  31        1           0.0675          0.0675        229.3626        229.3626
  32        1        -103.8350       -103.8350        161.4431        161.4431
  33        1         -47.0762        -47.0762        140.7400        140.7400
  34        1          -9.2365         -9.2365         74.5439         74.5439
  35        1          -0.0535         -0.0535         81.9333         81.9333
  36        1          -0.3760         -0.3760         37.5744         37.5744
  37        1          -4.0606         -4.0606         19.9984         19.9984
  38        1           3.7520          3.7520         50.0238         50.0238
  39        1           3.1749          3.1749         47.2282         47.2282
  40        1           2.7177          2.7177         44.8537         44.8537
  41        1           8.9053          8.9053         62.7403         62.7403
  42        1         109.6986        109.6986        166.0750        166.0750
  43        1          91.2488         91.2488        153.0318        153.0318
  44        1          90.6523         90.6523        151.0303        151.0303
  45        1          95.1765         95.1765        152.5767        152.5767
  46        1         119.1762        119.1762        161.2506        161.2506
  47        1         125.8843        125.8843        162.7638        162.7638
  48        1         120.3403        120.3403        161.1124        161.1124
  49        1         132.8910        132.8910        163.9684        163.9684
  50        1         131.9799        131.9799        163.6687        163.6687
  51        1         118.5654        118.5654        160.1941        160.1941
  52        1         125.8510        125.8510        162.0803        162.0803
  53        1         -83.0962        -83.0962        150.1880        150.1880
  54        1          16.3395         16.3395        130.8089        130.8089
  55        1          35.2073         35.2073        104.5961        104.5961
  56        1          71.4045         71.4045        138.5972        138.5972
  57        1          56.0756         56.0756        126.1507        126.1507
  58        1          51.9714         51.9714        122.1677        122.1677
  59        1          51.4230         51.4230        121.5299        121.5299
  60        1          54.8766         54.8766        124.6131        124.6131
  61        1          49.9763         49.9763        119.9351        119.9351
  62        1          49.1469         49.1469        119.0634        119.0634
  63        1          45.4480         45.4480        115.2353        115.2353
  64        1          38.5853         38.5853        107.5039        107.5039
  65        1        -184.8750       -184.8750        174.9027        174.9027
  66        1          -0.5054         -0.5054        177.4357        177.4357
  67        1          59.7934         59.7934        131.1671        131.1671
  68        1          82.4448         82.4448        146.4974        146.4974
  69        1          67.7424         67.7424        136.3456        136.3456
  70        1          74.0701         74.0701        140.4659        140.4659
  71        1          69.9890         69.9890        137.4022        137.4022
  72        1          74.5134         74.5134        140.3309        140.3309
  73        1          72.4786         72.4786        138.8546        138.8546
  74        1          75.9347         75.9347        141.0252        141.0252
  75        1          69.4422         69.4422        136.5435        136.5435
  76        1          72.5992         72.5992        138.6508        138.6508
  77        1          68.1138         68.1138        135.4564        135.4564
 150        1          68.1138         68.1138        135.4564        135.4564
